title,rating,num_votes,year
Fight Club,8.8,1635894,1999
Coming to America,7.0,142864,1988
American Hustle,7.2,411329,2013
Se7en,8.6,1251795,1995
The Hobbit: An Unexpected Journey,7.9,710730,2012
Nocturnal Animals,7.5,196607,2016
Tully,7.0,34161,2018
Grease,7.2,204046,1978
Death Wish,6.4,43623,2018
Apocalypse Now,8.5,535652,1979
Transformers: The Last Knight,5.2,112715,2017
Troy,7.2,443116,2004
Prisoners,8.1,511555,2013
Fifty Shades of Grey,4.1,273316,2015
Harry Potter and the Order of the Phoenix,7.5,441026,2007
Hanna,6.8,175163,2011
Wreck-It Ralph,7.7,330985,2012
Dazed and Confused,7.7,144335,1993
Die Hard,8.2,706580,1988
Kong: Skull Island,6.7,224955,2017
The Killing of a Sacred Deer,7.0,81685,2017
Donnie Darko,8.1,685878,2001
Kingsman: The Golden Circle,6.8,217557,2017
Kingsman: The Secret Service,7.7,531130,2014
Mother!,6.6,145949,2017
The Hunger Games,7.2,784055,2012
Harry Potter and the Half-Blood Prince,7.6,406040,2009
Pirates of the Caribbean: Dead Men Tell No Tales,6.6,217564,2017
The Nutcracker and the Four Realms,5.5,10860,2018
Austin Powers in Goldmember,6.2,181156,2002
Scarface,8.3,648905,1983
Blaze,6.8,819,2018
12 Strong,6.6,44854,2018
The Shining,8.4,759163,1980
Only Mine,4.8,186,2019
The VVitch: A New-England Folktale,6.8,146110,2015
Superfly,5.0,3882,2018
Me Before You,7.4,163316,2016
Sicario,7.6,317922,2015
Mean Girls,7.0,294746,2004
The Front Runner,6.5,1903,2018
Atonement,7.8,224058,2007
Captain America: The First Avenger,6.9,633470,2011
Love Actually,7.6,380475,2003
Doctor Strange,7.5,475435,2016
Man of Steel,7.1,634285,2013
The Witches,6.8,30476,1990
xXx: Return of Xander Cage,5.2,75612,2017
The Mummy,5.5,147207,2017
Rocky,8.1,461579,1976
Scott Pilgrim vs. the World,7.5,330431,2010
Just Go with It,6.4,197116,2011
SGT. Will Gardner,5.4,185,2019
Cast Away,7.8,463237,2000
The Hangover,7.7,657665,2009
The Grand Budapest Hotel,8.1,617503,2014
How to Train Your Dragon,8.1,591890,2010
Star Wars,8.6,1096249,1977
13 Hours,7.3,100022,2016
Pride & Prejudice,7.8,226222,2005
Back to the Future,8.5,908636,1985
A Clockwork Orange,8.3,672768,1971
Skyscraper,5.9,68083,2018
Blade Runner,8.2,613685,1982
Time Freak,5.7,1918,2018
Maze Runner: The Death Cure,6.2,83686,2018
American Animals,7.0,24122,2018
The Twilight Saga: Breaking Dawn - Part 2,5.5,211034,2012
Hacksaw Ridge,8.1,350655,2016
