title,rating,num_votes,year
Zwei Frauen,6.8,255,1989
Last Man Club,5.4,114,2016
The Ballad of Josie,5.8,712,1967
Red Doors,6.6,973,2005
Abbott and Costello Meet Captain Kidd,6.4,1887,1952
Playing with Fire,3.7,148,2008
The House of Seven Corpses,4.1,1104,1974
Red Sky at Morning,7.2,353,1971
Beyond the Mat,7.2,85,2013
The Orchard,6.4,15,2016
Sweatshop,4.2,1026,2009
Church Ball,4.0,419,2006
The Girl from Nagasaki,7.5,199,2013
Savage Weekend,4.5,1100,1979
Santa's Boot Camp,4.0,93,2016
Frontier Gal,6.0,219,1945
What Men Want,7.3,18,1930
Senior Project,5.9,142,2014
Little Ghost,8.0,1922,1997
The Last Straw,6.6,31,2014
Off Sides 2016,7.8,12,2016
Slumber Party Slaughter,6.6,62,2012
Sinbad and the War of the Furies,2.5,275,2016
Private Lives,6.9,936,1931
Project X,5.4,336,1968
Operation Mad Ball,6.5,735,1957
Suicide Girls Must Die!,3.3,652,2010
Surveillance,5.1,414,2006
Luther,6.8,270,1974
Seven Alone,5.6,382,1974
Conspiracy of Silence,6.6,339,2003
Home Sick,4.9,536,2007
Salt and Pepper,5.2,462,1968
Nasty Habits,6.3,261,1977
The Hustle,5.1,262,2008
Dark Mountain,4.4,658,2013
Ace Wonder: Message from a Dead Man,5.1,201,2014
Nice Guys,4.5,411,2006
The Bumblebee Flies Anyway,6.4,1647,1999
Baberellas,4.3,252,2003
The Honkers,6.1,250,1972
Stormy Weather,7.3,1652,1943
"Looney, Looney, Looney Bugs Bunny Movie",7.2,1851,1981
Gun Fury,6.1,1105,1953
Life of a King,6.9,5675,2013
The Actor,6.5,57,2018
The Bowery Boys Meet the Monsters,6.5,530,1954
Cavedweller,5.7,558,2004
Whirlwind,5.3,399,2007
Fear in the Night,6.5,1113,1947
The Fugitive,6.5,1790,1947
Dionysus in '69,5.3,267,1970
Rage and Honor,5.3,617,1992
Starlift,6.0,350,1951
Concrete Blondes,4.9,578,2013
Dracula Reborn,1.9,393,2015
"This World, Then the Fireworks",5.1,1007,1997
Gathering of Heroes: Legend of the Seven Swords,4.6,49,2018
Hard Bounty,3.5,406,1995
Butter on the Latch,5.3,238,2013
Above Suspicion,6.4,1544,1943
The Florodora Girl,7.7,1123,1930
SideFX,3.5,414,2004
The Astounding She-Monster,3.4,694,1957
Rodeo Girl,5.8,159,2016
Hollywood Cavalcade,6.5,311,1939
Small Time,6.0,1208,2014
Anything Is Possible,5.9,273,2013
21 and a Wake-Up,5.7,118,2009
The Lost World,3.7,766,1998
The Boys & Girls Guide to Getting Down,6.6,2368,2006
Munger Road,4.5,1452,2011
Acts of Violence,7.0,99,2010
Black Magic Woman,3.8,346,1991
Rock Slyde,5.7,555,2009
The Wicked Dreams of Paula Schultz,4.6,201,1968
The Wise Kids,6.3,864,2011
Il Natale che quasi non fu,3.7,642,1966
The Leech Woman,4.4,1465,1960
The Devil Bat,5.5,2259,1940
The Bishop Murder Case,6.1,508,1929
Deadly Sanctuary,3.6,107,2017
The Dolly Sisters,6.5,660,1945
Sparrows,7.4,1073,1926
Goodbye Again,7.0,2127,1961
Madam Satan,6.6,699,1930
Wall of Noise,6.5,130,1963
Chu Chu and the Philly Flash,4.2,247,1981
Elysia (Valley of the Nude),6.3,71,1933
Welcome to Hard Times,6.0,1261,1967
Welcome to Paradise,5.8,313,2007
The Raking,3.3,332,2017
Falling in Love Again,5.2,312,1980
The Evictors,5.6,852,1979
Lady in the Dark,6.2,347,1944
Kansas Raiders,6.3,785,1950
Cooper and the Castle Hills Gang,5.4,38,2011
Love Affair,5.9,315,1932
Triumphs of a Man Called Horse,5.7,478,1983
The Roost,4.9,1845,2005
Birth of Separation,4.5,119,2010
California Conquest,5.0,144,1952
A Swingin' Summer,4.8,116,1965
Contest,5.7,608,2013
Tick Tock,6.2,570,2000
Fun in Balloon Land,1.2,309,1965
Crazylove,6.3,366,2005
Panther Girl of the Kongo,5.4,95,1955
Crisis,6.7,1364,1950
Chasing Ghosts,5.5,1314,2005
Once in the Life,5.3,635,2000
Road to Utopia,7.5,2886,1945
...tick... tick... tick...,6.6,801,1970
Six Black Horses,6.6,468,1962
Child of Grace,6.6,228,2014
Zombie Women of Satan 2,3.5,51,2016
The Black Camel,7.1,1165,1931
Where We Started,6.8,89,2013
Awakened,3.6,338,2013
NightLights,8.0,68,2014
"Gaily, Gaily",5.5,277,1969
That Midnight Kiss,6.7,443,1949
Cut to the Chase,4.9,265,2016
The Hours and Times,6.5,511,1991
White Tiger,5.0,353,1996
Driving While Black,7.6,35,2016
Nico the Unicorn,5.9,420,1998
Beware: Children at Play,4.1,951,1989
Princess Warrior,2.7,142,1989
Tight Spot,6.7,1193,1955
Diamonds,4.9,214,1975
Jericho,6.3,358,2000
Black Eyed Dog,7.4,23,2014
Bank Shot,5.6,847,1974
The Man Who Saw Tomorrow,6.1,930,1981
High on the Hog,6.1,18,2017
Copacabana,6.2,1029,1947
All the Light in the Sky,6.4,452,2012
Anna Nicole,4.6,484,2007
Illegal,7.0,1288,1955
Sightings,3.7,259,2017
Between Waves,8.3,19,2018
Geronimo,5.9,905,1962
The Bikini Carwash Company II,2.8,579,1993
Red Riding Hood,5.7,320,1988
College Pranks,5.7,21,2018
Going Ape!,3.7,672,1981
Shield for Murder,6.9,799,1954
Five Minutes to Live,5.7,606,1961
Paralytic,5.0,115,2016
Preston Tylk,5.5,635,2000
Formosa Betrayed,6.3,1296,2009
The Abduction of Zack Butterfield,5.0,179,2011
My First Mister,7.2,5252,2001
For Izzy,8.7,40,2018
The Sea Chase,6.5,2479,1955
Lady Ice,4.8,249,1973
The Naked Face,5.5,920,1984
The Creature Walks Among Us,5.8,2545,1956
Ride the Wild Surf,5.8,566,1964
Wild in Blue,5.3,1234,2015
Bad Night,4.9,619,2015
Swimming to Cambodia,7.7,1850,1987
Mountain Family Robinson,6.5,392,1979
Miracle of the White Stallions,6.6,485,1963
Dagmars Heta Trosor,4.5,211,1971
Vegas High Stakes,4.4,35,1996
Desperate But Not Serious,4.3,323,2000
Collaborator,6.1,708,2011
Jesse James Meets Frankenstein's Daughter,3.0,1418,1966
Groupie,3.6,359,2010
Hidden Obsession,5.6,78,1993
Midnight Son,6.0,1640,2011
The Unnamable II: The Statement of Randolph Carter,5.1,811,1992
Amongst Friends,5.5,495,1993
White Ghost,4.4,293,1988
Every 21 Seconds,7.1,25,2018
Before the Sun Explodes,5.7,103,2016
A Time of Destiny,4.8,326,1988
Campus Man,4.7,460,1987
Everybody Wants to Be Italian,5.9,1666,2007
Born Again,5.4,96,1978
Psychopathia Sexualis,3.9,465,2006
The Impossible Years,5.6,526,1968
"Incomplete: A Story of Love, Desire and Deception",6.7,23,2012
Super Bear,8.5,8,2019
The Nutt House,3.6,521,1992
Outlaw Blues,6.0,262,1977
A Million to Juan,5.5,702,1994
The Boy Who Cried Werewolf,5.2,509,1973
Blind Malice,5.4,140,2014
Perfumed Garden,3.4,374,2000
Man Without a Star,7.0,2492,1955
Diani & Devine Meet the Apocalypse,8.9,87,2016
Mayday,8.3,6,2018
Skullduggery,4.7,301,1970
Violet Tendencies,6.2,537,2010
Malaya,6.7,985,1949
Twilight of Honor,6.2,451,1963
Take Care of My Little Girl,6.7,247,1951
The Men Next Door,5.7,668,2012
The Derby Stallion,5.7,1017,2005
King of the Zombies,5.3,1719,1941
Losing in Love,6.5,108,2016
White Shadows in the South Seas,7.1,654,1928
Blood Feast 2: All U Can Eat,5.9,1259,2002
This Teacher,6.2,8,2018
The Search for Signs of Inteligent Life in the Universe,7.2,210,1991
The Tie That Binds,5.0,1032,1995
A Novel Romance,4.7,168,2011
Stars and Stripes Forever,7.3,713,1952
Big Baby,4.4,36,2015
The Sacred,4.2,341,2012
Throuple,5.9,28,2015
Charley-One-Eye,6.2,142,1973
Island Claws,4.3,337,1980
Los Angeles Overnight,6.2,336,2018
Luckytown,4.8,844,2000
The Carey Treatment,6.2,1140,1972
Mission Batangas,4.7,45,1968
The Spiral Road,6.3,384,1962
"Charlie, the Lonesome Cougar",6.9,655,1967
The Shadow,7.0,203,1940
Slime City,5.5,794,1988
Hit!,6.2,373,1973
Into My Heart,6.3,267,1998
Don't Go Near the Park,3.6,649,1979
My Reputation,7.0,1131,1946
Rosencrantz and Guildenstern Are Undead,5.1,708,2009
Satan Never Sleeps,6.1,545,1962
The Covered Wagon,6.8,438,1923
Tropical Heat,5.2,241,1993
Charlie Chan in Shanghai,7.4,1181,1935
Salome Where She Danced,5.7,193,1945
Strike Up the Band,7.0,1202,1940
The Cheat,6.6,2122,1915
Ghosts of Hamilton Street,7.0,89,2003
The Marsh,4.9,2887,2006
Black Samurai,3.8,681,1976
Kill for Me,5.8,133,2016
Ten Seconds to Hell,6.5,677,1959
The Threat,6.7,754,1949
Conspirator,6.2,705,1949
Cash McCall,6.4,993,1960
The House of Rothschild,6.8,852,1934
The Cursed Man,7.1,55,2016
School Spirits,7.2,27,2017
Ladies in Love,6.5,355,1936
VANish,5.2,1488,2015
Utoya Island,1.7,119,2012
Gemini Rising,3.1,306,2013
Pete 'n' Tillie,6.2,704,1972
Thicker Than Water,5.0,559,1999
Bartleby,6.5,1693,2001
The Hunting of the Snark,6.4,16,2017
Operator 13,7.7,1164,1934
Another Brick in the Wall,7.3,12,2016
Baller Blockin',5.2,296,2000
Ask Any Girl,6.7,628,1959
Whistle Stop,5.6,835,1946
Horizons West,6.2,671,1952
Presence of Mind,5.7,471,1999
Swiss Family Robinson,6.8,212,1940
The Business of Strangers,6.4,3540,2001
Betrayal,3.9,839,2003
The Benny Goodman Story,6.7,988,1956
Hope Dances,6.8,36,2017
When Ladies Meet,6.2,892,1941
War of the Colossal Beast,3.4,1597,1958
Desert Fury,6.7,1034,1947
The Honeymoon Machine,6.2,1041,1961
The Book of Secrets,7.4,215,2017
Conversations with God,6.6,2076,2006
Little Girl Blue: What's Become of You?,7.1,13,2006
Boardinghouse,4.0,575,1982
The Black Room,4.8,279,1982
Impact Earth,3.9,191,2015
Easy Living,6.5,588,1949
The Grim Sleeper,5.3,421,2014
Lovely to Look At,6.4,517,1952
Hear No Evil,6.7,113,2014
The Disappearance of Garcia Lorca,6.3,875,1996
"Angel, Angel, Down We Go",4.4,262,1969
Calcutta,6.6,289,1947
Image of the Beast,5.0,213,1980
Far Harbor,4.9,328,1996
Away from Here,5.8,167,2014
An Invited Guest,5.5,481,1999
First Period,6.3,524,2013
Hurt,5.2,1376,2009
Cold Weather,6.2,2054,2010
Shadow of the Hawk,6.1,312,1976
Hell on Frisco Bay,6.5,343,1955
Fake News,8.2,44,2017
Evil Bong 2: King Bong,4.8,619,2009
"Tarzan, the Ape Man",3.9,239,1959
Mean Johnny Barrows,5.0,304,1975
Goldengirl,4.6,311,1979
Ridge Runners,3.8,136,2018
December 7th,6.2,624,1943
I Think I Do,6.8,1482,1997
Just Let Go,7.0,163,2015
The Opportunists,5.8,1082,2000
My Country,7.4,31,2017
The Confidant,4.1,307,2010
Cain and Mabel,7.7,1558,1936
Julian Po,6.1,1406,1997
Hot Girls on the Beach,5.8,12,2011
Escape from the Dark,7.1,230,1976
Idled,5.1,20,2018
A Certain Sacrifice,2.8,623,1979
The Truth Below,5.4,281,2011
The General Died at Dawn,6.6,932,1936
Wooly Boys,6.3,612,2001
Istanbul,6.3,388,1957
The Fighting Prince of Donegal,6.3,295,1966
Dakota Lil,5.7,115,1950
Sitting Bull,5.7,500,1954
The Chicago 8,5.9,193,2011
Lifespan,5.8,274,1975
Fatal Instinct,4.3,387,2014
Stripteaser,4.6,216,1995
The Chilling,3.6,420,1989
Eyes of the Serpent,4.4,86,1994
Hard Vice,3.7,187,1994
Mafia,4.1,503,2012
Are You Joking?,5.5,117,2014
The Naked Monster,5.8,179,2005
Intruder in the Dust,7.7,1683,1949
Destroyer,6.6,978,1943
The Cimarron Kid,6.5,695,1952
Do Over,4.2,107,2016
Unrivaled,4.0,811,2010
American Desi,6.7,1549,2001
The Hellcats,1.9,1476,1968
Sankofa,7.1,476,1993
Cobra Woman,5.9,803,1944
A Little Long in the Tooth,8.3,7,2018
Novel Romance,5.2,216,2006
Vlad's Legacy,5.5,56,2017
Beyond the Rising Moon,4.7,301,1987
House of Forbidden Secrets,6.3,397,2013
Cremaster 3,7.1,1286,2002
Under the Boardwalk,5.5,278,1988
Save Me,6.8,1909,2007
Sex Files: Sexually Bewitched,3.4,137,2000
Don gato y su pandilla,4.8,1567,2011
Agent for H.A.R.M.,2.1,1162,1966
Spitfire,6.2,956,1995
Things 4,3.1,26,2017
Shut Up and Kiss Me!,4.6,630,2004
Life During Wartime,5.2,823,1997
Gold of the Seven Saints,6.4,445,1961
The Perfect You,5.7,636,2002
Under Two Flags,6.6,347,1936
A Better Way to Die,5.7,1449,2000
Hideous!,4.7,741,1997
Brute Sanity,3.4,33,2017
Losing Control,4.4,444,2011
The Beginning or the End,6.9,468,1947
Mako: The Jaws of Death,3.6,523,1976
Provocateur,4.9,282,1998
Bed & Breakfast: Love is a Happy Accident,5.1,809,2010
Hannah Has a Ho-Phase,6.0,62,2012
Wild Rovers,6.6,1286,1971
Chuka,6.4,653,1967
Dive Bomber,6.6,1431,1941
College Musical,6.7,137,2014
The Secret Handshake,6.3,73,2015
The All New Adventures of Laurel & Hardy in 'For Love or Mummy',4.6,397,1999
The Stewardesses,3.9,221,1969
Occupant,4.8,1502,2011
Blood Freak,3.6,1309,1972
Secret Needs,4.7,61,2001
En algun lugar,6.4,58,2017
Column South,6.4,376,1953
The King's Thief,5.8,491,1955
Night Train to Mundo Fine,2.6,6042,1966
Auggie Rose,6.3,1389,2000
Person of Interest,5.8,297,2010
Double Dynamite,5.8,753,1951
Dallas 362,6.2,1093,2003
Full Moon in Blue Water,5.6,595,1988
Murder on the Campus,5.9,153,1933
Mardi Gras Massacre,3.7,501,1978
Forbidden,7.0,1057,1932
The Virginian,6.9,559,1929
The Blue Veil,7.5,292,1951
The Dark Wind,5.6,508,1991
The Man with Two Heads,3.9,159,1972
She Kills,6.4,334,2016
5 Minutes,7.2,23,2012
Bikini Beach Race,4.9,66,1992
Gallows Road,5.1,231,2017
Kid Vengeance,5.0,416,1977
The Iron Curtain,6.4,655,1948
Knucklebones,3.8,731,2016
The Crimson Ghost,7.0,314,1946
Over the Brooklyn Bridge,7.0,1370,1984
Girls Town,3.2,706,1959
Fear Strikes Out,7.0,1525,1957
The Naughty Stewardesses,2.6,247,1974
Linda and Abilene,4.0,188,1969
Eyes of Fire,6.4,622,1983
Between Heaven and Hell,6.6,994,1956
Beautiful Wave,5.1,468,2011
"Lisa, Lisa",4.9,1025,1974
Blood Mania,3.9,715,1970
The Paleface,6.9,3252,1948
The Great Pretender,5.8,52,2018
Portnoy's Complaint,5.2,324,1972
The Cut-Throats,4.5,108,1969
Dead Kansas,7.0,601,2013
Verboten!,6.9,705,1959
Women's Prison,6.5,579,1955
Aliens vs. Avatars,1.6,1537,2011
Complicity,4.2,349,2013
Five Star Day,5.8,685,2010
Dog Tags,5.6,1509,2008
Hollywood Palms,5.6,102,2001
Pickup on 101,6.6,69,1972
3 A.M.,5.9,1158,2001
Pretty Cool Too,3.6,1077,2007
Joe Gould's Secret,6.6,1427,2000
Disaster Wars: Earthquake vs. Tsunami,1.9,360,2013
The Naked Maja,5.6,329,1958
Charlie Chan in Rio,7.5,1102,1941
The Witching,3.9,450,2016
Champagne for Caesar,7.5,903,1950
The Nurse,5.5,42,2014
Summerhood,6.8,542,2008
Selling Stupid,4.6,36,2017
Amityville: Evil Never Dies,3.9,22,2017
5th Ave Girl,6.9,1130,1939
Rasputin and the Empress,6.7,752,1932
Jeopardy,6.8,1477,1953
Attack on the Iron Coast,5.5,511,1968
Witchcraft 14: Angel of Death,3.1,55,2016
Freeway Killer,5.5,1091,2010
The Strange Affair of Uncle Harry,6.9,1064,1945
Endangered Species,4.3,462,2002
The Unguarded Moment,6.5,305,1956
Bud Abbott and Lou Costello in Hollywood,7.0,2009,1945
Fighting Caravans,5.8,467,1931
The Last Year,4.4,304,2002
The Big Broadcast of 1938,6.5,790,1938
Gold Diggers of 1937,6.5,816,1936
Changing Hearts,5.7,112,2012
Bugs: A Trilogy,6.6,47,2018
Dawn at Socorro,6.5,337,1954
Abigail Falls,6.2,6,2018
The Black Cat,6.3,1151,1941
Killing American Style,4.1,257,1988
Hunter Gatherer,6.3,517,2016
My Other Home,6.5,70,2017
The Occupants,3.8,448,2014
Zombie Nation,2.1,7845,2004
The Naughty Nineties,7.5,1618,1945
The Return of Dracula,5.7,1000,1958
Murder by Phone,5.5,555,1982
The Ten Commandments: The Musical,6.0,285,2006
Man Push Cart,7.1,2828,2005
Talent for the Game,6.0,668,1991
Legal Tender,4.6,95,1991
The Stripper,7.0,284,1963
Day of the Outlaw,7.3,2405,1959
Younger and Younger,5.5,401,1993
Dr. Caligari,6.4,891,1989
The Dark Side of Love,4.6,69,2012
Stranger Than Fiction,6.3,1182,2000
The Spy in the Green Hat,5.9,298,1967
Auntie Lee's Meat Pies,4.0,159,1992
Alienate,2.7,697,2016
The Case of the Curious Bride,6.7,665,1935
Father Africa,9.3,22,2017
Loved,4.8,504,1997
Sinatra Club,4.6,341,2010
Solomon Grundy,7.7,26,2012
The Thirsty Dead,3.0,465,1974
Naked Boys Singing!,5.9,681,2007
Only God Can,6.6,39,2015
Manpower,6.8,1121,1941
Stranger in the Dunes,7.9,16,2016
Coffin 2,4.3,2963,2017
American Cowslip,5.2,441,2009
Loving Jezebel,5.8,334,1999
The Seniors,4.4,276,1978
Ravagers,4.5,301,1979
The Bat Whispers,6.5,732,1930
Amy,6.7,210,1981
Search Engines,4.2,138,2016
The Merry Widow,5.9,461,1952
Déjà Vu,7.1,729,1997
The Nevadan,6.3,619,1950
The Pickle,4.3,544,1993
Joe's Bed-Stuy Barbershop: We Cut Heads,4.6,241,1983
Gospel According to Harry,6.5,163,1994
The Initiate,4.6,44,1998
Santa Claws,3.0,524,2014
Crazy Famous,5.1,419,2017
Denial,5.4,189,1990
Boys' Night Out,6.7,1597,1962
Bonnie & Clyde: The True Story,5.6,265,1992
The Bucks County Massacre,4.3,544,2010
The Pale Man,4.4,216,2017
Undeserved,5.4,86,2016
7 Nights of Darkness,4.1,981,2011
A Line in the Sand,7.3,41,2008
Sweet Kill,5.1,198,1972
Alien Abduction,2.6,1188,2005
Trial,6.9,755,1955
Camp Dread,3.9,639,2014
"Sex, Blood and Fairy Tales",7.4,9,2016
The Homecoming,7.1,582,1973
The Curse of the Living Corpse,5.3,484,1964
Brain Twisters,3.4,361,1991
Roxie,7.1,72,2014
Newcomer,5.5,394,2015
Operation Rogue,4.3,515,2014
The Jigsaw Murders,5.1,116,1989
Sun Belt Express,6.2,330,2014
Time Warrior,3.1,225,2012
Death Force,5.3,329,1978
City of Dead Men,3.8,427,2014
Blonde Ice,6.1,720,1948
Holding Trevor,5.2,1329,2007
Olivia,4.9,320,1983
Her Only Choice,7.2,14,2018
The Son of the Sheik,7.3,1650,1926
Money from Home,6.3,625,1953
Hollywood Mouth,3.3,706,2008
Prehistoric Women,2.9,443,1950
Memoirs of a Teenage Amnesiac,6.1,584,2010
Between Something & Nothing,4.9,260,2008
Exfil,5.8,14,2017
Tarzan Goes to India,5.5,383,1962
Nathan's Kingdom,9.0,46,2018
Marriage on the Rocks,5.8,827,1965
Tough Luck,6.4,843,2003
Cornbread Cosa Nostra,6.9,34,2018
Shane Ryan's Faces of Snuff,5.6,45,2016
Three Days in the Woods,5.5,27,2010
The Pledge,6.3,163,2011
Rogue Warrior: Robot Fighter,5.2,1892,2017
Secret Games II (The Escort),4.8,164,1993
The Adventures of Hajji Baba,6.1,390,1954
It Watches,4.6,723,2016
Pit Stop,6.8,536,1969
Ragin Cajun Redneck Gators,3.6,636,2013
Our Man in Marrakesh,5.7,530,1966
Arizona Heat,4.7,119,1988
3 Bad Men,7.6,871,1926
Take One False Step,6.8,189,1949
Heartland,7.4,772,1979
The Brute Man,3.9,1038,1946
The Alien Dead,2.6,749,1980
Voodoo Man,5.3,576,1944
Counterpunch,5.1,584,2013
Steal This Movie,6.4,2126,2000
The Ghastly Ones,3.8,441,1968
The Viking,6.7,326,1928
Something of Value,6.6,814,1957
Evolver,5.6,953,1995
Winter in the Blood,6.2,193,2013
Pterodactyl,3.1,2122,2005
Major Deal,5.8,199,2016
The Search for John Gissing,7.0,756,2001
"Red, Hot and Blue",6.1,197,1949
Fist Fighter,4.9,214,1989
Nevada,5.2,313,1997
Joseph Smith: Prophet of the Restoration,7.8,669,2005
Dr. Humpinstein's Erotik Castle,2.2,38,2011
Warriors of the Apocalypse,2.9,168,2009
Beautiful Dreamer,6.4,617,2006
Ace the Case,3.9,365,2016
Pretty Bird,5.0,979,2008
Crash Landing,3.8,724,2005
Sand Angels,8.2,223,2018
The Trail of '98,6.9,301,1928
House of Bad,3.2,278,2013
Star Dust,6.7,205,1940
Roadside Prophets,6.5,1092,1992
Pocahontas: The Legend,3.4,319,1995
Down for Life,6.9,288,2010
Mustang Island,5.9,227,2017
American Gun,6.3,1111,2002
Bloodmoon,5.7,589,1997
The Liars' Club,5.6,387,1993
Naked Complex,5.0,30,1963
Tin Pan Alley,6.7,387,1940
Defending Santa,5.8,336,2013
The Sin of Madelon Claudet,6.7,670,1931
Durant's Never Closes,6.1,128,2016
Warpath,6.3,296,1951
Uptight,7.1,346,1968
Highway Dragnet,6.3,395,1954
The Constant Nymph,6.9,1065,1943
Bad Reputation,4.3,657,2005
Nightfall,2.4,563,1988
Vengeance Valley,6.0,1665,1951
Little Fugitive,7.6,2059,1953
Once a Thief,6.8,1034,1965
Shockwave,5.6,1153,2017
Sylvio,6.1,239,2017
Jaws of Satan,3.8,579,1981
Blizzard,5.8,866,2003
Torrent,7.0,615,1926
Cheech & Chong's Animated Movie,4.8,750,2013
Blue Desert,5.4,475,1990
The Macomber Affair,6.6,705,1947
The Amaranth,7.1,7,2018
Quackerz,4.5,401,2016
Final: The Rapture,5.9,1234,2013
The Deli,5.3,319,1997
The Traveling Executioner,6.3,256,1970
Her Last Will,6.7,95,2016
"Jesus, Bro!",7.1,178,2017
Behind Enemy Lines,4.9,402,1986
Beer,5.2,577,1985
The George Raft Story,5.8,215,1961
Hot Spur,4.7,116,1968
Bernadette,8.1,10,2018
Alphabet City,4.8,540,1984
The Happy Years,7.0,582,1950
Mirage,5.7,272,1989
The Painted Hills,3.7,872,1951
The Hunted,6.5,330,1948
Last Supper,4.6,17,2018
For Here or to Go?,7.0,335,2015
Devilish Charm,3.3,102,2014
Female Animal,5.0,85,1970
Breaking Point,5.8,231,1976
Starrbooty,5.3,278,2007
Naked Gun,6.8,179,1956
"When You Comin' Back, Red Ryder?",6.9,374,1979
Bitter Victory,6.9,1525,1957
Maya,6.4,281,1966
Looking for Love,5.7,192,1964
Lake on Fire,5.7,672,2016
The Mad Bomber,5.5,385,1973
Pretty When You Cry,4.2,352,2001
"Class of Nuke 'Em High Part 3: The Good, the Bad and the Subhumanoid",4.4,829,1994
The Witchmaker,5.5,295,1969
Hard Rock Zombies,4.5,1138,1985
Beggars of Life,7.8,793,1928
Curse of the Forty-Niner,3.6,649,2002
Get Squirrely,4.0,308,2015
Killer Tomatoes Strike Back!,3.4,1304,1991
The Patchwork Girl of Oz,5.4,336,1914
So Big,6.9,546,1953
Captains of the Clouds,6.5,1250,1942
The Perfect Furlough,6.3,632,1958
Revelation Road 2: The Sea of Glass and Fire,5.2,796,2013
The Lost Man,6.2,132,1969
Crash Site,3.4,359,2011
Macabre,5.8,879,1958
Return to the Hiding Place,4.9,633,2013
Arizona Raiders,6.1,607,1965
Shades of Ray,7.2,1261,2008
Let's Kill Uncle,6.0,281,1966
Jane Austen in Manhattan,4.9,210,1980
Snake Club: Revenge of the Snake Woman,3.2,131,2013
Splinterheads,6.0,1361,2009
A Night to Dismember,3.3,578,1983
Kaw,4.4,2123,2007
Blackmail Boys,4.4,140,2010
Cattle Queen of Montana,5.7,714,1954
Such Good People,4.7,394,2014
Texas,6.8,1014,1941
In Memory Of,5.7,32,2018
Background to Danger,6.5,902,1943
Putty Hill,6.0,630,2010
Rage,6.5,735,1972
Your Cheatin' Heart,6.6,603,1964
Sheila Levine Is Dead and Living in New York,6.4,195,1975
Cyber Case,5.2,297,2015
Horror House on Highway Five,3.9,388,1985
3:13 Three Thirteen,8.1,41,2014
The Pink Jungle,6.0,214,1968
The Last Frontier,6.6,1219,1955
Forbidden Lust,8.2,40,2004
Dark House,4.1,31,2017
She Gods of Shark Reef,2.6,794,1958
District,6.3,23,2018
20 Ft Below: The Darkness Descending,2.8,506,2014
Girlfriend from Hell,4.1,523,1989
Captain Battle: Legacy War,1.3,358,2013
Robin Hood: Ghosts of Sherwood,1.7,463,2012
Voodoo Island,4.6,701,1957
Lace Crater,5.4,263,2015
This Is Happening,6.6,167,2015
It Happens Every Spring,7.0,1430,1949
The 12 Dogs of Christmas,5.6,776,2005
Assassins' Code,3.6,133,2011
Crazy Bitches,3.8,898,2014
Kimberly,5.3,604,1999
Get Mean,5.3,203,1975
Future Hunters,4.5,338,1989
Johnny Apollo,7.1,964,1940
Not Another Celebrity Movie,2.9,161,2013
The Boys Are Back - Bandstand: The Broadway Musical,9.2,45,2018
One Tough Cop,5.2,1090,1998
Gold Star,7.2,96,2017
How Sweet It Is!,6.0,516,1968
North Woods,6.5,14,2016
Incest Death Squad,7.0,83,2009
A Green Story,5.6,186,2012
What Would Jesus Do?,5.4,584,2010
Five Across the Eyes,2.7,1556,2006
Unicorn City,5.7,1179,2012
Closer to God,4.6,816,2014
Two Flags West,6.7,569,1950
60 Seconds to Die,6.4,50,2017
Judith,5.6,278,1966
Deathrow Gameshow,5.0,599,1987
The Golden Rut,5.1,47,2016
Magic in the Mirror,5.3,150,1996
Love Toy,5.8,82,1971
Driving Me Crazy,3.6,475,1991
You & Me,8.7,13,2018
The Appearing,3.1,1325,2014
"Forever, Darling",6.5,738,1956
Born Guilty,3.8,115,2017
Showing Roots,5.9,67,2016
After the Rain,6.1,185,1999
Pedro,7.0,455,2008
The Fatal Hour,5.6,882,1940
"H.M. Pulham, Esq.",7.0,863,1941
Daffy Duck's Quackbusters,7.2,1918,1988
Black Devil Doll,4.4,899,2007
Tiger by the Tail,6.0,52,1970
5 Against the House,5.9,886,1955
A House Is Not a Home,6.1,114,1964
Free Style,4.4,376,2008
Homestate,6.1,128,2016
It All Came True,6.7,849,1940
The House of God,5.9,166,1984
Digital Man,5.4,541,1995
Making It,6.2,84,1971
Interior,5.5,220,2014
Games,6.6,950,1967
North West Mounted Police,6.6,1294,1940
Brenda Starr,4.7,909,1989
Killing Joan,2.9,153,2018
Winning,6.1,1555,1969
The Boob Tube,4.3,174,1975
Out of My Hand,6.1,107,2015
In the Radiant City,5.6,145,2016
Shoot on Sight,6.1,1557,2007
Big Bad John,5.5,111,1990
She Loves Me Not,5.8,112,2013
Woman Thou Art Loosed: On the 7th Day,5.0,565,2012
The Brooklyn Banker,6.3,648,2016
South32,6.4,24,2016
LA Apocalypse,2.6,601,2015
Vlad,3.5,1436,2003
Confessions of a Nazi Spy,6.8,1249,1939
Tempted,5.5,1205,2001
Get Well Soon,5.2,1029,2001
Final Impact,4.8,439,1992
Sedona's Rule,5.0,28,2010
Sue,7.2,1252,1997
The Amsterdam Kill,5.4,351,1977
Some Kind of a Nut,4.5,224,1969
Adventures of Serial Buddies,6.8,853,2011
It's a Bikini World,4.7,257,1967
Evil Bong 420,4.5,168,2015
Rejuvenatrix,5.4,398,1988
Electra,3.1,61,1990
The Meat Puppet,5.1,79,2012
The Tunnel of Love,6.0,973,1958
This Stuff'll Kill Ya!,4.3,214,1971
Saving Shiloh,6.5,662,2006
